"id","spp","plot","subplot","doy","Vcmax","Jmax","Rd","TPU","leaf_length_cm","stem_length_cm"
"583","Tri","3","23","104","41.9046548496626","96.3250434326015","3.42311108186113",NA,"7.4",NA
"4934","Tri","3","23","104","50.6311591230101","115.171710572816","4.0902739642047",NA,"6.8",NA
"452","Tri","3","22","104","55.7513359428941","118.820774972679","4.40998841552781",NA,"6.9",NA
"6558","Tri","3","22","104","67.541877482669","142.125971441573","5.91713347553415",NA,"7.9",NA
"1666","Tri","3","27","104","64.8763973197428","122.784568802469","4.69321876410895",NA,"6.8",NA
"4942","Tri","3","27","104","75.503131659556","155.427214015542","6.02051612645721",NA,"6.4",NA
"5479","Tri","3","21","104","61.8679979080994","114.230517892257","5.44466814751984",NA,"6.9",NA
"774","Tri","3","20","104","68.6119090629127","138.16045760165","6.80216843458855",NA,"9.5",NA
"6885","Tri","3","20","104","95.3347137295291","179.061114384789","9.6365971594592",NA,"6.1",NA
"2329","Tri","3","20","104","95.2015908191638","164.648951272669","7.42615885357021",NA,"7.5",NA
"4714","Tri","3","7","104","96.7724426338172","200.91369260949","6.90989996708442",NA,"8",NA
"902","Tri","3","7","104","108.784508298841","183.464631537754","7.24793006368876",NA,"7.4",NA
"552","Tri","3","14","104","78.617083407738","139.767803137978","5.88368219112909",NA,"8.3",NA
"5436","Tri","3","3","104","129.253999641175","204.137727876003","10.828769995855",NA,"9.2",NA
"3563","Tri","3","4","104","83.2436280247406","161.677304850627","5.74648643871789",NA,"6.8",NA
"1926","Tri","3","5","104","94.0117561982127","160.406876958318","7.30348511407125",NA,"6.7",NA
"425","Tri","3","6","104","116.097337014573","217.622037324347","6.31402550499359",NA,"8.2",NA
"2924","Tri","5","35","105","70.7766075974753","138.562276630641","3.15876872210359",NA,"8.3",NA
"6875","Tri","5","29","105","77.3829891935964","147.847586340733","3.4343512770713",NA,"8",NA
"2988","Tri","5","33","105","109.620156321992","189.890289482585","3.99211710447602",NA,"9.5",NA
"3829","Tri","5","33","105","84.6546024561339","148.820311546796","3.74767312835733",NA,"7.2",NA
"5877","Tri","5","27","105","68.6488031956887","150.632346955604","1.90399446207141",NA,"7.5",NA
"4109","Tri","5","32","105","91.4295966544841","148.37821265347","3.4475377659719",NA,"7",NA
"4431","Tri","5","23","105","115.658564474631","166.94172495262","5.89985730530877",NA,"10.2",NA
"4959","Tri","5","22","105","112.872828511399","178.267840797428","5.10693883105729",NA,"9.2",NA
"5229","Tri","5","22","105","112.09460801388","178.678191695069","5.6601389599668",NA,"8.4",NA
"482","Tri","5","22","105","111.345502141289","156.66460757747","5.41312940790792",NA,"9.5",NA
"4990","Tri","5","22","105","147.791681587382","192.791865875986","6.26759842860344",NA,"11.2",NA
"3004","Tri","5","21","105","120.32086422758","164.047087483795","3.8776665172064",NA,"9.6",NA
"4576","Tri","5","21","105","156.086420236608","193.142721217279","7.06032590578615","12.4275468963776","9.8",NA
"3077","Tri","5","21","105","102.267887523844","161.005227065827","2.36379173757287",NA,"8.5",NA
"4000","Tri","5","20","105","150.929494747744","219.745928218245","6.10147737444063",NA,"8.1",NA
"5115","Tri","5","19","105","131.76135879978","181.103332321184","5.74595222157132","11.9242301810479","9.9",NA
"5228","Tri","5","19","105","147.660575328853","171.465104135484","5.72524378359497","10.9961256328265","8",NA
"5229","Tri","6","1","106","80.4052767474862","165.294475436171","2.88272928244006",NA,"10.1",NA
"762","Tri","6","2","106","110.62220196692","218.321097136508","1.90620724963681",NA,"7.6",NA
"4373","Tri","6","2","106","86.0904887547742","174.866592700013","2.09632672478077",NA,"8.5",NA
"4760","Tri","6","2","106","102.256220033261","179.850884353198","3.68038827083122",NA,"6.8",NA
"4777","Tri","6","2","106","103.396680320439","158.219707938353","4.79078857379256",NA,"6.9",NA
"5865","Tri","6","2","106","101.212994966576","174.044842378672","4.07309616568779",NA,"10",NA
"5267","Tri","6","2","106","101.946803722855","198.628318169674","6.30573470218776",NA,"8.1",NA
"684","Tri","6","2","106","108.092640357867","195.800090210548","4.97355058011862",NA,"10.5",NA
"5742","Tri","6","3","106","124.889377842641","201.549570627821","5.7820105973677","13.5125454611847","9.5",NA
"3305","Tri","6","5","106","94.4247165712025","159.146378432962","5.27817623258155","11.0145228677421","8.3",NA
"5619","Tri","6","5","106","74.2649180909179","147.886794982494","4.20205751672164",NA,"9.3",NA
"striped1","Tri","6","5","106","110.848777395896","202.867155468132","5.76413492728031",NA,"8.1",NA
"978","Tri","6","6","106","106.864622763186","208.789020863606","3.92366987048381",NA,"8.3",NA
"5626","Tri","6","6","106","119.368806649469","210.880728612445","5.21000725377583",NA,"10",NA
"5403","Tri","6","6","106","103.623972737933","174.565242323454","4.41491110514358",NA,"9",NA
