id,spp,plot,subplot,gm.trt,tg,vpdg,ig,imaxg,z,d13c,total_c,d15n,total_n,sample_weight_mg,nmass,cmass,leaf_cn,leaf_area_cm2,dry_biomass_g,sla_cm2g,lma_gm2,chi,beta
452,Tri,3,22,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.39,1063.9,-0.27,65.94,2.496,0.026417577,0.426241461,16.13476752,,,,#DIV/0!,0.873805571,1.008230085
511,Mai,3,30,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.51,1060.7,0.21,55.66,2.458,0.02264261,0.431529764,19.058305,,,,#DIV/0!,0.87942045,1.118673332
5771,Tri,6,5,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-30.92,1060.28,-2.8,71.11,2.509,0.028341605,0.422589,14.91055293,,,,#DIV/0!,0.851827351,0.694683812
552,Tri,3,14,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-30.65,915.36,-0.35,41.21,2.31,0.017839086,0.396259878,22.21301486,,,,#DIV/0!,0.839211204,0.572449697
631,Mai,5,3,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.71,832.03,3.33,37.61,2.028,0.018545956,0.410273135,22.12197227,,,,#DIV/0!,0.935645861,4.450078851
684,Tri,6,2,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.11,976.95,-2.27,68.97,2.323,0.029691483,0.420555058,14.1641647,,,,#DIV/0!,0.860709596,0.802729233
762,Tri,6,2,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.8,810.3,-2.59,52.22,1.96,0.026645088,0.41341663,15.51567909,,,,#DIV/0!,0.892995487,1.465086253
972,Tri,7,11,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.39,1168.96,-1.35,81.11,2.848,0.02848086,0.410450285,14.41144283,,,,#DIV/0!,0.920638782,2.832352793
1468,Mai,7,11,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.47,1165.34,-1.38,55.37,2.722,0.020342331,0.428118856,21.04571303,,,,#DIV/0!,0.9713275,24.17412278
978,Tri,6,6,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.01,947.97,-3.04,76.17,2.233,0.034109938,0.424525886,12.44581215,,,,#DIV/0!,0.856034296,0.743227088
1669,Tri,7,11,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.21,1078.39,-1.14,70.32,2.535,0.027740522,0.425400488,15.33498489,,,,#DIV/0!,0.912201662,2.271589609
1146,Mai,6,8,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.61,986.2,2.62,44.58,2.366,0.018840231,0.416823742,22.1241311,,,,#DIV/0!,0.930955082,3.826987224
1374,Tri,5,10,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.14,886.38,-0.42,50.99,2.15,0.02371529,0.412268476,17.38407931,,,,#DIV/0!,0.862112374,0.821840498
6507,Tri,7,12,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.23,1259.53,-1.52,84.6,2.987,0.028322119,0.421672109,14.88843799,,,,#DIV/0!,0.86632123,0.88303866
1495,Mai,6,8,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.74,904.05,1.16,40.89,2.135,0.019152428,0.423443755,22.10914185,,,,#DIV/0!,0.890186191,1.382273193
1499,Mai,5,17,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.42,840.72,1.16,46.76,2.013,0.023230073,0.41764508,17.9786382,,,,#DIV/0!,0.922045274,2.944528286
1666,Tri,3,27,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.97,1190.7,0.44,79.76,2.836,0.028125734,0.41985181,14.92767492,,,,#DIV/0!,0.947846426,6.954950909
7574,Tri,7,12,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-30.35,1024.05,-0.45,61.67,2.47,0.024966287,0.414593899,16.60614958,,,,#DIV/0!,0.825201503,0.468188309
1686,Tri,3,6,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.83,955.21,-0.94,58.86,2.345,0.025098722,0.407339905,16.2295076,,,,#DIV/0!,0.894400265,1.509101222
1795,Tri,5,14,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.29,1002.31,0.11,48.74,2.446,0.019926285,0.409774983,20.56454523,,,,#DIV/0!,0.869127568,0.927345162
1941,Mai,6,19,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.62,934.54,-1.32,43.77,2.249,0.019464108,0.415534049,21.34873282,,,,#DIV/0!,0.884568645,1.235138378
1975,Tri,7,18,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.99,1045.78,-1.51,72.91,2.511,0.029035297,0.416481184,14.34396152,,,,#DIV/0!,0.901893886,1.778110639
2285,Mai,7,23,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.67,1027.67,-1.88,47.73,2.61,0.018286594,0.393743225,21.53179635,,,,#DIV/0!,0.933769433,4.184525353
2074,Tri,6,16,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.64,1016.8,-2.55,74.48,2.42,0.03077742,0.420165767,13.65175387,,,,#DIV/0!,0.885504806,1.258099974
2276,Tri,6,22,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.93,1027.67,-1.25,71.22,2.466,0.028881385,0.41673553,14.42920859,,,,#DIV/0!,0.899083488,1.669910868
2379,Tri,7,23,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.02,1237.8,-0.91,88.53,2.98,0.029708887,0.41536821,13.9812779,,,,#DIV/0!,0.903299216,1.835922859
2329,Tri,3,20,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.18,937.1,-0.11,66.84,2.21,0.030243233,0.424026082,14.02052776,,,,#DIV/0!,0.86398288,0.848300412
2382,Tri,7,23,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.2,857.39,0.51,54.81,2.129,0.025744377,0.402721525,15.64308665,,,,#DIV/0!,0.911733025,2.245205009
1997,Tri,7,24,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.73,1234.17,0.38,88.31,3.062,0.028839865,0.403061522,13.9758464,,,,#DIV/0!,0.936584133,4.592004383
2416,Tri,3,17,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.82,1092.88,0.22,65.83,2.66,0.024746565,0.410857814,16.60261995,,,,#DIV/0!,0.893931996,1.494227023
3043,Tri,7,24,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-29.98,1328.37,-1.51,82.69,3.155,0.026208309,0.421036273,16.06499186,,,,#DIV/0!,0.807934806,0.371590193
2616,Mai,5,36,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.05,879.13,0.37,36.37,2.182,0.016670349,0.402901672,24.16876114,,,,#DIV/0!,0.951601766,8.140751984
2639,Mai,6,21,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.26,1002.31,-0.72,45.82,2.378,0.019267055,0.421492686,21.87634155,,,,#DIV/0!,0.914544991,2.410315811
2662,Mai,5,36,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.12,993.16,-3.96,45.85,2.359,0.019434706,0.421007302,21.66265323,,,,#DIV/0!,0.954888198,9.435416355
4676,Mai,7,24,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.19,1114.62,-2.27,43.79,2.633,0.016632623,0.423326664,25.45158819,,,,#DIV/0!,0.911264397,2.219251321
4859,Mai,7,24,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.15,1034.92,-1.82,41.1,2.472,0.016624547,0.418655175,25.18295291,,,,#DIV/0!,0.909389985,2.119565539
2692,Mai,6,21,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.23,1005.93,1.68,48.29,2.432,0.019856109,0.413623559,20.8310483,,,,#DIV/0!,0.960053553,12.16486387
2743,Mai,6,36,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.3,850.15,-2.29,46.04,2.034,0.022636124,0.417968708,18.46467666,,,,#DIV/0!,0.869595325,0.93502401
2803,Mai,5,18,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.31,864.31,0.22,19.78,2.109,0.009380917,0.40982019,43.68658317,,,,#DIV/0!,0.916888563,2.561346759
2912,Tri,5,11,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.4,817.54,-0.63,50.88,1.959,0.025970119,0.417326375,16.06948242,,,,#DIV/0!,0.874273424,1.016844928
3427,Tri,7,35,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.97,813.92,-0.31,55.37,1.963,0.028207756,0.414630403,14.69916319,,,,#DIV/0!,0.900957048,1.74097941
