id ,leaf_length,stem_length,allometry_method,notes
plot3_weed_mai_sla_01,10.7,23.8,manual,
plot3_weed_mai_sla_02,18.6,64.8,manual,
plot3_weed_mai_sla_03,14.5,45.7,manual,
plot3_weed_mai_sla_04,11.6,31.4,manual,
plot3_weed_mai_sla_05,13.2,34.1,manual,
plot3_amb_mai_sla_01,7.7,13.9,manual,
plot3_amb_mai_sla_02,16.9,55.1,manual,
plot3_amb_mai_sla_03,15.1,50.4,manual,
plot3_amb_mai_sla_04,14.6,47.4,manual,
plot3_amb_mai_sla_05,15.9,50.5,manual,
plot5_weed_mai_sla_01,12.1,25.7,manual,
plot5_weed_mai_sla_02,19.8,63.5,manual,
plot5_weed_mai_sla_03,15.9,47.9,manual,
plot5_weed_mai_sla_04,19.9,60.3,manual,
plot5_weed_mai_sla_05,20.3,70.7,manual,
plot5_weed_mai_sla_06,10.0,18.7,manual,
plot5_weed_mai_sla_07,13.0,31.3,manual,
plot5_amb_mai_sla_01,18.0,56.8,manual,
plot5_amb_mai_sla_02,16.6,50.1,manual,
plot5_amb_mai_sla_03,20.2,76.9,manual,
plot5_amb_mai_sla_04,8.4,15.2,manual,
plot5_amb_mai_sla_05,13.1,26.5,manual,
plot5_amb_mai_sla_06,13.3,36.7,manual,
plot5_amb_mai_sla_07,19.6,69.6,manual,
plot6_weed_mai_sla_01,19.1,67.5,manual,
plot6_weed_mai_sla_02,17.1,55.9,manual,
plot6_weed_mai_sla_03,10.1,17.0,manual,
plot6_weed_mai_sla_04,14.6,44.7,manual,
plot6_weed_mai_sla_05,13.5,31.0,manual,
plot6_weed_mai_sla_06,11.1,26.1,manual,
plot6_weed_mai_sla_07,16.6,46.4,manual,
plot6_weed_mai_sla_08,15.0,40.9,manual,
plot6_weed_mai_sla_09,21.2,67.7,manual,
plot6_weed_mai_sla_10,10.3,18.9,manual,
plot6_amb_mai_sla_01,14.1,41.3,manual,
plot6_amb_mai_sla_02,16.3,46.7,manual,
plot6_amb_mai_sla_03,12.3,22.3,manual,
plot6_amb_mai_sla_04,19.1,66.1,manual,
plot6_amb_mai_sla_05,14.1,32.1,manual,
plot6_amb_mai_sla_06,14.6,41.2,manual,
plot6_amb_mai_sla_07,14.7,45.5,manual,
plot6_amb_mai_sla_08,12.0,26.9,manual,
plot6_amb_mai_sla_09,20.5,72.5,manual,
plot6_amb_mai_sla_10,13.4,31.0,manual,
plot3_weed_tri_sla_01,14.9,NA,imagej,
plot3_weed_tri_sla_02,9.9,NA,imagej,
plot3_amb_tri_sla_01,14.5,NA,imagej,
plot3_amb_tri_sla_02,14.0,NA,imagej,
plot3_amb_tri_sla_03,10.5,NA,imagej,
plot3_amb_tri_sla_04,13.4,NA,imagej,
plot3_amb_tri_sla_05,7.4,NA,imagej,
plot5_weed_tri_sla_01,14.5,NA,imagej,
plot5_weed_tri_sla_02,16.5,NA,imagej,
plot5_weed_tri_sla_03,15.2,NA,imagej,
plot5_weed_tri_sla_04,14.5,NA,imagej,
plot5_weed_tri_sla_05,14.2,NA,imagej,
plot5_weed_tri_sla_06,16.3,NA,imagej,
plot5_weed_tri_sla_07,16.3,NA,imagej,
plot5_weed_tri_sla_08,15.3,NA,imagej,
plot5_weed_tri_sla_09,17.2,NA,imagej,
plot5_weed_tri_sla_10,16.5,NA,imagej,
plot5_amb_tri_sla_01,16.6,NA,imagej,
plot5_amb_tri_sla_02,15.1,NA,imagej,no leaf tip on some leaves (wilted off)
plot5_amb_tri_sla_03,18.7,NA,imagej,
plot5_amb_tri_sla_04,17.5,NA,imagej,no leaf tip on some leaves (wilted off)
plot5_amb_tri_sla_05,11.1,NA,imagej,
plot5_amb_tri_sla_06,16.9,NA,imagej,
plot5_amb_tri_sla_07,10.3,NA,imagej,
plot5_amb_tri_sla_08,14.7,NA,imagej,no leaf tip on some leaves (wilted off)
plot5_amb_tri_sla_09,15.4,NA,imagej,no leaf tip on some leaves (wilted off)
plot5_amb_tri_sla_10,16.0,NA,imagej,no leaf tip on some leaves (wilted off)
plot6_weed_tri_sla_01,14.8,NA,imagej,
plot6_weed_tri_sla_02,10.5,NA,imagej,
plot6_weed_tri_sla_03,16.9,NA,imagej,
plot6_weed_tri_sla_04,13.3,NA,imagej,
plot6_weed_tri_sla_05,17.3,NA,imagej,
plot6_weed_tri_sla_06,12.8,NA,imagej,
plot6_weed_tri_sla_07,14.7,NA,imagej,
plot6_weed_tri_sla_08,11.9,NA,imagej,
plot6_weed_tri_sla_09,12.8,NA,imagej,
plot6_weed_tri_sla_10,7.7,NA,imagej,
plot6_amb_tri_sla_01,10.7,NA,imagej,
plot6_amb_tri_sla_02,9.5,NA,imagej,
plot6_amb_tri_sla_03,15.1,NA,imagej,
plot6_amb_tri_sla_04,12.0,NA,imagej,
plot6_amb_tri_sla_05,11.4,NA,imagej,
plot6_amb_tri_sla_06,14.7,NA,imagej,
plot6_amb_tri_sla_07,11.5,NA,imagej,
plot6_amb_tri_sla_08,15.2,NA,imagej,
plot6_amb_tri_sla_09,9.6,NA,imagej,
plot6_amb_tri_sla_10,14.6,NA,imagej,
