obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
769,1718302644,12868.1,20240613 13:17:24,13:17:24,5,3136,albert,1718302636,0.001770166,1.770165946,6.594846958,411.4459355,301.0790198,29.61035202,40.46465608,0.106578912,2.897568917,0.104447998,0.065467904,353.6750527,34.69221884,33.3298,5.146484956,70.1099938,3.553432423,5.068367903,1.593052534,-78.0643182,-42.58336037,-3.372138143,229.655236,6.598918673,1.765464864,6.594846958,435.046728,426.8553758,-0.000216306,64.94895461,1.770165946,34.0837557,36.13104476,-1.08E-06,111.382537,0,0,1,0,50948,2010.326594,1649.071063,0.820300079,0.175929152,6,0.5,0: Broadleaf,2,TRUE,1718302636,411.4459355,420.2355806,36.13141613,34.08957419,410.6658387,35.9418871,500.0414839,98.24739032,0.100053629,33.05720323,33.3298,999.9,0,0,9993.966452,0,10.35143226,-8.789564839,426.8693548,435.0668065,2.041826452,420.2355806,34.08957419,3.549816129,3.349212258,26.8599129,25.87414839,1999.975161,0.979995613,0.020004306,0,2.044070968,0,23867.44194,17337.99355,41.54412903,42.24187097,41.44941935,40.68325806,41.19519355,1959.965161,40.01,0,1718302662,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,-8.793611,0.149724428,0.030993717,1,2.054017647,-0.46606876,0.189948117,-1,2.03795525,0.081168743,0.007869888,1,2,2,2-Feb,3.12129,2.77739,0.0908637,0.0929319,0.152669,0.14677,27081,26173.4,30338.1,29119.9,35494.9,32699.8,46445.7,43291.4,1.78725,1.90915,0.130139,0,31.2307,999.9,59.3,34.8,33.7182,64.1085,19.7316,1,0.343491,0,20.2562,5.23286,11.974,4.97095,3.2905,9999,9999,9999,999.9,4.97275,1.87729,1.87541,1.8782,1.87486,1.8784,1.87552,1.87675,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.78,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60637.7,60637.7,1.10107,2.58057,1.39893,2.29858,1.44897,2.58667,39.6167,13.7993,18,473.882,525.492,31.8284,31.6073,30.0001,31.2761,31.3278,22.0767,0,100,-999.9,420.231,35.1136,100.342,99.5583,NA
770,1718302649,12873.1,20240613 13:17:29,13:17:29,5,3136,albert,1718302641,0.00177522,1.775219567,6.67024233,411.4504138,300.1153521,29.5155031,40.46499414,0.106771719,2.897625855,0.104633213,0.065584327,353.6600896,34.69743614,33.33545172,5.14811557,70.08233242,3.553360465,5.070265703,1.594755106,-78.28718292,-42.42579087,-3.359797061,229.5873188,6.50210513,1.771296937,6.67024233,435.1260027,426.8393576,-8.99E-05,64.94895461,1.775219567,34.07562321,36.12897692,4.55E-06,111.382537,0,0,1,0,50868,2010.241504,1649.001268,0.82030008,0.175929155,6,0.5,0: Broadleaf,2,TRUE,1718302641,411.4504138,420.1278966,36.13077586,34.08192414,410.6703448,35.94125172,499.9772069,98.24724828,0.099946876,33.06386897,33.33545172,999.9,0,0,9994.307241,0,10.27771103,-8.677437241,426.8736552,434.9518966,2.048845862,420.1278966,34.08192414,3.549748966,3.348454828,26.85957931,25.87033448,1999.963793,0.979995621,0.020004324,0,2.048475862,0,23844.5,17337.8931,41.5192069,42.24348276,41.45031034,40.69165517,41.20010345,1959.953793,40.01,0,1718302667,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,-8.71528878,1.329575331,0.246293673,0,2.068029412,-0.185323154,0.196528171,-1,2.045481707,0.083660279,0.008313941,1,1,2,2-Jan,3.12137,2.7778,0.0908514,0.0926079,0.152665,0.146747,27081,26182.6,30337.6,29119.8,35494.8,32700.5,46445.3,43291.2,1.78725,1.90905,0.129782,0,31.2376,999.9,59.3,34.8,33.7184,64.1185,19.7676,1,0.343608,0,20.2554,5.22762,11.974,4.96945,3.28975,9999,9999,9999,999.9,4.97276,1.87729,1.87546,1.8782,1.8749,1.87845,1.8756,1.87681,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.78,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60637.7,60637.7,1.07666,2.57812,1.39893,2.29858,1.44897,2.57935,39.6167,13.7906,18,473.899,525.438,31.8315,31.61,30.0003,31.2787,31.3299,21.5395,0,100,-999.9,400.182,35.1136,100.341,99.5578,NA
771,1718302654,12878.1,20240613 13:17:34,13:17:34,5,3136,albert,1718302646,0.001774671,1.774670951,6.557414984,411.1338929,301.3284641,29.63490674,40.43399819,0.106592063,2.897686919,0.104460713,0.065475889,353.6398034,34.70444307,33.342125,5.150041497,70.05065593,3.553155703,5.072266142,1.596885794,-78.26298894,-42.37191171,-3.355684685,229.649218,4.810133749,1.776619441,6.557414984,429.784407,424.4275273,-0.556577126,64.94895461,1.774670951,34.0663129,36.11931119,-1.83E-05,111.382537,0,0,1,0,50983,2010.126276,1648.906738,0.820300077,0.175929148,6,0.5,0: Broadleaf,2,TRUE,1718302646,411.1338929,417.7830714,36.128575,34.0735,410.3540714,35.93904286,499.9621071,98.24761786,0.099900775,33.07089286,33.342125,999.9,0,0,9994.619643,0,10.13806143,-6.64925625,426.5442143,432.5207143,2.055067143,417.7830714,34.0735,3.549546429,3.347640357,26.85860357,25.866225,1999.988214,0.979996071,0.020003954,0,2.046642857,0,23817.16071,17338.10714,41.51325,42.24992857,41.43507143,40.70521429,41.19164286,1959.978214,40.01,0,1718302672,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,-7.498951375,18.79833308,2.486786952,0,2.052802941,-0.008307109,0.192130666,-1,2.05111075,0.076769493,0.00759261,1,1,2,2-Jan,3.12147,2.77767,0.0903774,0.0905852,0.152639,0.146723,27094.9,26240.8,30337.4,29119.6,35495.5,32701.1,46444.9,43290.9,1.78732,1.90893,0.129566,0,31.2424,999.9,59.3,34.8,33.7141,64.0385,19.6595,1,0.343801,0,20.2554,5.22792,11.9739,4.96955,3.28975,9999,9999,9999,999.9,4.97275,1.87729,1.87546,1.8782,1.87491,1.87847,1.87561,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.777,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60637.8,60637.8,1.04614,2.5769,1.39893,2.29858,1.44897,2.52563,39.6167,13.7818,18,473.945,525.371,31.8345,31.6115,30.0003,31.2795,31.3326,20.9196,0,100,-999.9,386.806,35.1136,100.34,99.5571,NA
772,1718302659,12883.1,20240613 13:17:39,13:17:39,5,3136,albert,1718302652,0.001776522,1.776522307,6.208761568,408.9220741,304.461191,29.94316842,40.21669394,0.106635552,2.898188303,0.104502842,0.065502339,353.6134645,34.70987005,33.34392963,5.150562426,70.01568745,3.552646024,5.074071475,1.597916402,-78.34463372,-41.67110899,-3.299744578,230.2979772,0.616151136,1.780161687,6.208761568,415.5108193,416.3603394,-1.708191353,64.94895461,1.776522307,34.05670596,36.11188531,-1.06E-05,111.382537,0,0,1,0,50958,2009.976567,1648.783932,0.820300077,0.175929148,6,0.5,0: Broadleaf,2,TRUE,1718302652,408.9220741,410.5351852,36.12319259,34.06391852,408.1446296,35.93366667,499.9402222,98.24821481,0.099848285,33.07722963,33.34392963,999.9,0,0,9997.432963,0,9.986937778,-1.613157222,424.2471852,425.0129259,2.059286296,410.5351852,34.06391852,3.54903963,3.346717778,26.85617407,25.86157037,1999.98963,0.97999637,0.020003778,0,2.074718519,0,23790.63333,17338.11481,41.52759259,42.24992593,41.42340741,40.71740741,41.20574074,1959.97963,40.01,0,1718302677,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,-3.740025488,56.4600891,6.094333835,0,2.046888235,0.05990527,0.205176723,-1,2.056376585,0.04756892,0.005084958,1,1,2,2-Jan,3.12144,2.77769,0.088976,0.0879293,0.152613,0.146688,27136.7,26317.2,30337.5,29119.3,35496.9,32702,46445.4,43290.5,1.78723,1.9089,0.129595,0,31.2471,999.9,59.3,34.8,33.7164,63.7785,19.5833,1,0.344172,0,20.2554,5.22747,11.974,4.9695,3.2896,9999,9999,9999,999.9,4.97274,1.87729,1.87544,1.8782,1.87486,1.87838,1.87552,1.87672,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.768,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60637.9,60637.9,1.00952,2.57568,1.39893,2.29858,1.44897,2.5061,39.6167,13.7818,18,473.902,525.353,31.8377,31.6129,30.0003,31.2814,31.3326,20.1672,0,100,-999.9,366.326,35.1136,100.341,99.5562,NA
773,1718302664,12888.1,20240613 13:17:44,13:17:44,5,3136,albert,1718302656,0.001779015,1.779015446,5.835721427,403.5845714,304.9183775,29.98826709,39.69193992,0.106686987,2.898447519,0.104552429,0.065533492,353.6057162,34.71349117,33.34662857,5.151341595,69.98413895,3.551934647,5.075342356,1.599406949,-78.45458115,-41.39970492,-3.27807509,230.4733551,-4.680867981,1.782088987,5.835721427,398.9606265,404.2099333,-2.49348577,64.94895461,1.779015446,34.0458873,36.10377552,-1.37E-05,111.382537,0,0,1,0,50982,2009.932505,1648.74779,0.820300077,0.17592915,6,0.5,0: Broadleaf,2,TRUE,1718302656,403.5845714,398.8305357,36.11579643,34.05449643,402.8127143,35.926275,499.9934286,98.24852143,0.099985257,33.08168929,33.34662857,999.9,0,0,9998.887857,0,9.948933929,4.754016964,418.7064643,412.8915,2.061311429,398.8305357,34.05449643,3.548324286,3.345803571,26.85275357,25.85695,1999.983571,0.979996464,0.020003729,0,2.018521429,0,23795.225,17338.05357,41.54225,42.24542857,41.41939286,40.7275,41.20507143,1959.973571,40.01,0,1718302682,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,0.949393125,81.16878877,7.911553508,0,2.054770588,-0.360953398,0.214111641,-1,2.05993225,0.027568143,0.002826226,1,1,2,2-Jan,3.12154,2.77792,0.0869133,0.0850112,0.152588,0.146662,27199,26401.3,30338.4,29119.3,35498.5,32702.7,46446.3,43290.4,1.78732,1.9088,0.129536,0,31.2526,999.9,59.3,34.8,33.7141,63.9385,19.4912,1,0.344327,0,20.2555,5.22762,11.974,4.9696,3.2897,9999,9999,9999,999.9,4.97275,1.87729,1.87539,1.8782,1.87485,1.87836,1.8755,1.87671,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.756,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60638,60638,0.974121,2.57568,1.39893,2.29858,1.44897,2.43042,39.6167,13.7818,18,473.974,525.305,31.8409,31.6155,30.0003,31.2842,31.3354,19.4874,0,100,-999.9,352.961,35.1136,100.344,99.556,NA
774,1718302669,12893.1,20240613 13:17:49,13:17:49,5,3136,albert,1718302662,0.001777884,1.777883764,5.652315853,393.5783333,297.7845089,29.28674625,38.70795301,0.106499687,2.899142416,0.104373035,0.065420681,353.6087903,34.71779659,33.34948148,5.152165326,69.94905244,3.551022951,5.076584782,1.601142374,-78.40467398,-41.17425222,-3.259557188,230.7703069,-9.987652462,1.782710395,5.652315853,381.7677755,389.5788121,-2.959105885,64.94895461,1.777883764,34.03798129,36.0946972,-2.88E-05,111.382537,0,0,1,0,50943,2009.949954,1648.762106,0.820300079,0.175929152,6,0.5,0: Broadleaf,2,TRUE,1718302662,393.5783333,382.435037,36.10642222,34.0443963,392.817037,35.91690741,499.9965556,98.2488037,0.0999867,33.08604815,33.34948148,999.9,0,0,10002.8437,0,9.973658148,11.14329667,408.3213704,395.9137407,2.062043333,382.435037,34.0443963,3.547413333,3.344820741,26.84838519,25.85198519,1999.976296,0.979996407,0.020003785,0,2.034140741,0,23815.87037,17338,41.53677778,42.24525926,41.43262963,40.74059259,41.215,1959.966296,40.01,0,1718302687,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,7.063577439,73.4584836,7.406332109,0,2.054320588,-0.12707563,0.219163911,-1,2.061319756,0.010556655,0.001683542,1,1,2,2-Jan,3.12161,2.77803,0.0844328,0.0820603,0.152565,0.146635,27272.7,26486.3,30338.2,29119.2,35499.3,32703.3,46446.3,43290.1,1.7871,1.90853,0.129163,0,31.2574,999.9,59.3,34.8,33.7144,63.8285,19.4792,1,0.344324,0,20.2556,5.22777,11.974,4.9694,3.28968,9999,9999,9999,999.9,4.97275,1.87729,1.87543,1.8782,1.87485,1.87836,1.87557,1.87675,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.741,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60638.1,60638.1,0.936279,2.57568,1.39893,2.29858,1.44897,2.5,39.6418,13.7818,18,473.854,525.123,31.8441,31.6183,30.0002,31.285,31.3374,18.7221,0,100,-999.9,332.836,35.1136,100.343,99.5555,NA
775,1718302674,12898.1,20240613 13:17:54,13:17:54,5,3136,albert,1718302666,0.001779827,1.779827158,5.228803433,381.5123214,292.4027571,28.75756646,37.52141754,0.106479888,2.898748301,0.104353735,0.065408575,353.6141203,34.72081642,33.3539,5.153441325,69.92089444,3.55025024,5.077524063,1.603191085,-78.49037765,-41.34428085,-3.273586184,230.5058756,-12.86399417,1.784321498,5.228803433,364.4804505,373.8273394,-3.160727072,64.94895461,1.779827158,34.02655416,36.08517552,-8.94E-06,111.382537,0,0,1,0,50936,2009.98028,1648.786979,0.820300077,0.175929149,6,0.5,0: Broadleaf,2,TRUE,1718302666,381.5123214,366.8936786,36.09842857,34.03471429,380.7637857,35.90891429,500.0431429,98.24908214,0.100080986,33.08934286,33.3539,999.9,0,0,10000.55536,0,9.995279643,14.61859929,395.8001071,379.8208571,2.0637225,366.8936786,34.03471429,3.546638571,3.34388,26.84466429,25.84723571,1999.985,0.979996393,0.020003739,0,2.013728571,0,23825.86429,17338.08214,41.54875,42.24992857,41.45285714,40.77214286,41.20507143,1959.975,40.01,0,1718302692,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,11.2982789,51.73407119,5.294471002,0,2.044814706,0.183515662,0.228338243,-1,2.062582195,0.016639861,0.002268342,1,1,2,2-Jan,3.12153,2.77771,0.0817274,0.0790046,0.152536,0.146598,27352.4,26574.4,30337.3,29119.1,35499.2,32704.5,46444.7,43290,1.78743,1.90832,0.129633,0,31.2615,999.9,59.3,34.7,33.5314,63.8985,19.4792,1,0.344733,0,20.2556,5.22867,11.974,4.96955,3.2899,9999,9999,9999,999.9,4.97275,1.87729,1.87544,1.8782,1.87486,1.87836,1.87556,1.87675,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.724,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60638.2,60638.2,0.9021,2.55859,1.39893,2.29858,1.44897,2.5415,39.6167,13.7906,18,474.046,524.99,31.8472,31.6198,30.0002,31.2869,31.3388,18.0334,0,100,-999.9,319.444,35.1136,100.34,99.5553,NA
776,1718302679,12903.1,20240613 13:17:59,13:17:59,5,3136,albert,1718302672,0.001778123,1.778122715,4.989980215,366.2302963,280.9406871,27.63027438,36.01843392,0.106221062,2.89910732,0.104105379,0.065252438,353.6108368,34.72437901,33.35820741,5.154685503,69.88736664,3.54921094,5.078472849,1.605474563,-78.41521175,-41.50255567,-3.28583412,230.4072352,-14.74446507,1.784973227,4.989980215,347.2596482,357.4908909,-3.2780102,64.94895461,1.778122715,34.01414494,36.07096573,-2.63E-05,111.382537,0,0,1,0,50941,2009.961667,1648.771706,0.820300075,0.175929145,6,0.5,0: Broadleaf,2,TRUE,1718302672,366.2302963,349.3229259,36.08787037,34.02338889,365.4982593,35.89835185,500.0453704,98.24912593,0.100011981,33.09267037,33.35820741,999.9,0,0,10002.60963,0,9.961296296,16.90726667,379.9416296,361.6268148,2.064481852,349.3229259,34.02338889,3.545601852,3.34276963,26.8397,25.84163333,2000.00037,0.979996407,0.020003681,0,2.050148148,0,23823.22593,17338.21852,41.53433333,42.25459259,41.46262963,40.78911111,41.21974074,1959.99037,40.01,0,1718302697,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,15.3135385,27.28781606,2.74138359,0,2.041029412,-0.159801372,0.230436179,-1,2.0641545,0.014414409,0.002160068,1,1,2,2-Jan,3.12146,2.77775,0.0788768,0.0759397,0.152494,0.146562,27437.2,26662.1,30337.2,29118.3,35501,32704.9,46445,43288.9,1.7872,1.90838,0.128813,0,31.2636,999.9,59.3,34.7,33.5288,63.8185,19.6034,1,0.344741,0,20.2556,5.22777,11.974,4.9696,3.28975,9999,9999,9999,999.9,4.97275,1.87729,1.87542,1.8782,1.87485,1.87839,1.87558,1.87678,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.707,0.1896,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60638.2,60638.2,0.863037,2.56348,1.39893,2.29858,1.44897,2.59766,39.6167,13.7906,18,473.938,525.044,31.8506,31.6219,30.0002,31.2897,31.3408,17.2609,0,100,-999.9,299.407,35.1136,100.34,99.5527,NA
777,1718302684,12908.1,20240613 13:18:04,13:18:04,5,3136,albert,1718302676,0.00177841,1.778409636,4.628860915,351.7013929,272.2489397,26.7752769,34.58930709,0.106204745,2.89901166,0.104089637,0.065242549,353.60437,34.72695635,33.35643571,5.154173725,69.85698995,3.548194976,5.079226829,1.605978749,-78.42786494,-40.81106409,-3.231207855,231.1342331,-15.68027381,1.78568787,4.628860915,330.1330526,340.9705576,-3.30935176,64.94895461,1.778409636,34.00266792,36.05990909,-1.66E-05,111.382537,0,0,1,0,50812,2009.924924,1648.741564,0.820300074,0.175929143,6,0.5,0: Broadleaf,2,TRUE,1718302676,351.7013929,333.6390357,36.07777143,34.01229286,350.98525,35.88825714,500.0093214,98.248575,0.099932546,33.09531429,33.35643571,999.9,0,0,10002.11714,0,9.919923929,18.06224286,364.8650357,345.3865357,2.065478929,333.6390357,34.01229286,3.544589643,3.341660357,26.83484643,25.83603929,2000.005,0.979996357,0.020003743,0,2.000875,0,23807.57143,17338.25357,41.57114286,42.25442857,41.45514286,40.78989286,41.23192857,1959.995,40.01,0,1718302702,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,17.26471707,15.38591707,1.564494111,0,2.03365,-0.32300535,0.225756853,-1,2.064472195,0.009670453,0.002029772,1,1,2,2-Jan,3.12144,2.77751,0.0759402,0.0727627,0.152457,0.146528,27524.8,26753.9,30337.4,29118.6,35502.5,32706.2,46445.2,43289.2,1.78735,1.90823,0.128813,0,31.2608,999.9,59.3,34.7,33.5281,64.0385,19.7556,1,0.345,0,20.2556,5.22792,11.974,4.9695,3.28988,9999,9999,9999,999.9,4.97274,1.87729,1.87544,1.87821,1.87491,1.87846,1.8756,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.689,0.1895,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60638.3,60638.3,0.828857,2.56958,1.39893,2.29858,1.44897,2.63062,39.6167,13.7906,18,474.026,524.959,31.8538,31.6247,30.0003,31.2905,31.3435,16.5645,0,100,-999.9,286.05,35.1136,100.341,99.5534,NA
778,1718302689,12913.1,20240613 13:18:09,13:18:09,5,3136,albert,1718302682,0.001772615,1.772615021,4.369810514,335.0015185,259.6615408,25.53711996,32.94663484,0.105798111,2.89874212,0.103698805,0.064996898,353.5749662,34.73133507,33.35432963,5.15356541,69.81781146,3.546782594,5.080054101,1.606782817,-78.17232241,-40.02485112,-3.169266577,232.2085261,-16.36040757,1.783463068,4.369810514,312.9061823,324.2486242,-3.345719753,64.94895461,1.772615021,33.99232838,36.0432,-2.88E-05,111.382537,0,0,1,0,50802,2009.757765,1648.604446,0.820300075,0.175929146,6,0.5,0: Broadleaf,2,TRUE,1718302682,335.0015185,316.0845556,36.0637,34.00057037,334.3039259,35.87417778,499.9622222,98.24782963,0.099888267,33.09821481,33.35432963,999.9,0,0,10000.64741,0,9.760357407,18.91690741,347.535037,327.209963,2.063124074,316.0845556,34.00057037,3.54317963,3.340483704,26.82808889,25.8300963,1999.997407,0.979996185,0.020003904,0,2.020974074,0,23796.05185,17338.17778,41.58548148,42.25918519,41.4372963,40.78440741,41.24525926,1959.987407,40.01,0,1718302707,0,0,--:--:--,1714664385,1714664385,0,-0.114,0.012,2.063,0.207,420,26,0.24,0.06,18.38058293,9.952365157,1.002809396,0,2.033114706,0.127671501,0.210168686,-1,2.06401439,-0.023122787,0.00293642,1,1,2,2-Jan,3.12138,2.77799,0.0729118,0.0695445,0.152412,0.146506,27615.1,26846.6,30337.5,29118.5,35503.9,32706.7,46444.9,43289,1.78745,1.90805,0.129648,0,31.254,999.9,59.3,34.7,33.5318,64.0785,19.9159,1,0.34517,0,20.2556,5.22762,11.974,4.9695,3.2897,9999,9999,9999,999.9,4.97274,1.87729,1.87546,1.8782,1.8749,1.87842,1.87561,1.8768,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,0.671,0.1896,0.256514706,0.001564482,-8.55E-07,3.65E-10,0.189522288,0,0,0,1,2102,1,21,60638.4,60638.4,0.789795,2.56958,1.39893,2.29858,1.44897,2.65869,39.6167,13.7906,18,474.094,524.845,31.8568,31.6266,30.0003,31.2924,31.3449,15.7872,0,100,-999.9,266.012,35.1136,100.34,99.5529,NA
