obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccH2O_des,CO2_hrs,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
1,1718976335,0,20240621 08:25:35,8:25:35,5,1476,ozzie,1718976327,0.000973671,0.973671362,2.42066236,416.566375,318.827138,31.57377821,41.25299501,0.045827818,2.909580621,0.045430561,0.028429505,321.511392,31.47751619,31.47751619,4.635674949,61.41342221,2.590672034,4.218413403,2.045002915,-42.93890704,-258.8266435,-19.90781408,-0.161972626,2.399813523,0.970141017,2.42066236,430.6981567,427.7195879,-0.000147795,64.72,0.973671362,25.03079388,26.16857818,3.20E-06,125.0251122,0,0,1,0,51959,1999.9675,1681.173,0.84060016,0.160758308,6,0.5,0: Broadleaf,2,TRUE,1718976327,416.566375,419.9310625,26.16020625,25.02650625,419.9223125,25.7752625,500.0063125,98.931025,0.099999787,29.82748125,30.1730125,999.9,0,0,9993.43125,0,4.504661875,-3.36470625,427.7565625,430.71025,1.133705,419.9310625,25.02650625,2.58805625,2.47589875,21.59111875,20.868925,1999.9675,0.979993875,0.020006006,0,2.17680625,0,25764.7125,17403.5125,38.437,38.812,38,37.753875,38.062,1959.9575,40.01,0,1718976304,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,-3.385707143,0.211912208,0.060041174,0,1.13245619,0.018381039,0.002114644,1,1,2,2-Jan,3.13102,2.7779,0.0983596,0.0985189,0.120026,0.11694,33966.2,36490.2,34084.6,36686.7,42311.7,46441.6,53158.8,58578.4,1.972,1.9641,0.145152,0,27.8036,999.9,71.359,26.727,25.4058,60.3819,48.1611,1,-0.0605666,0,20.1604,5.19707,12.0099,4.9754,3.294,9999,9999,999.9,9999,1.86295,1.86774,1.86751,1.86874,1.86958,1.86563,1.86672,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.356,0.3849,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.3,34502.1,0.998535,2.60742,1.54785,2.28882,1.64673,2.20215,30.6956,15.6731,18,501.456,488.804,28.036,26.6123,30.0003,26.5543,26.5037,19.9151,0,100,-999.9,413.176,25.5506,96.6407,94.9443,NA
2,1718976340,5,20240621 08:25:40,8:25:40,5,1476,ozzie,1718976331,0.000973972,0.973971939,2.322937375,416.5464,322.2167358,31.90945583,41.25101982,0.045844216,2.910538761,0.045446805,0.028439671,321.5082798,31.47907083,31.47907083,4.636084439,61.41810318,2.591191183,4.218937168,2.044893256,-42.95216249,-258.8170831,-19.90089034,-0.161856132,2.290635508,0.970963924,2.322937375,430.5647309,427.7065939,-0.000192503,64.72,0.973971939,25.03602864,26.17418303,3.12E-06,125.0251122,0,0,1,0,51885,1999.948,1681.15662,0.840600166,0.16075832,6,0.5,0: Broadleaf,2,TRUE,1718976331,416.5464,419.7805333,26.16544667,25.03076667,419.9022667,25.78051333,499.9955333,98.93103333,0.099998547,29.82964,30.16754667,999.9,0,0,9998.91,0,4.420203333,-3.234214667,427.7382667,430.5577333,1.134678667,419.7805333,25.03076667,2.588575333,2.476321333,21.59439333,20.87169333,1999.948,0.9799936,0.020006287,0,2.17844,0,25747.47333,17403.34667,38.43286667,38.812,38,37.75,38.062,1959.938,40.01,0,1718976309,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,-3.262548571,1.486540519,0.356728211,0,1.134358095,0.016154805,0.001940154,1,1,2,2-Jan,3.13139,2.77817,0.0983244,0.0979351,0.120042,0.116951,33967.6,36513.3,34084.6,36686.2,42310.6,46440.7,53158.5,58578.2,1.97253,1.96358,0.1444,0,27.7994,999.9,71.383,26.737,25.4284,60.0619,47.6082,1,-0.0604421,0,20.1603,5.19677,12.0099,4.9753,3.29395,9999,9999,999.9,9999,1.86296,1.86774,1.86752,1.86874,1.8696,1.86564,1.8667,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.356,0.3849,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.4,34502.2,0.969238,2.58911,1.54785,2.29004,1.64673,2.34375,30.6956,15.6906,18,501.824,488.492,28.0391,26.6146,30.0003,26.5571,26.5061,19.4289,0,100,-999.9,399.648,25.5506,96.6404,94.9434,NA
3,1718976345,10,20240621 08:25:45,8:25:45,5,1476,ozzie,1718976336,0.000976196,0.976195688,2.416501623,416.1003571,318.7543598,31.56657767,41.20685361,0.045955823,2.911211662,0.045556575,0.028508441,321.503925,31.48012505,31.48012505,4.636362138,61.4241553,2.591747164,4.219426627,2.044614974,-43.05022984,-258.7257902,-19.88957397,-0.161669015,0.395325006,0.972793025,2.416501623,424.7585924,424.9768424,-0.627996364,64.72,0.976195688,25.03833819,26.17909394,3.33E-06,125.0251122,0,0,1,0,52015,1999.920714,1681.1337,0.840600174,0.160758335,6,0.5,0: Broadleaf,2,TRUE,1718976336,416.1003571,417.0605,26.17105714,25.03423571,419.4556429,25.78612143,499.9909286,98.93102143,0.100024579,29.83165714,30.16062143,999.9,0,0,10002.76071,0,4.44573,-0.960095714,427.2827143,427.7694286,1.136810714,417.0605,25.03423571,2.589129286,2.476663571,21.59789286,20.87395,1999.920714,0.979993286,0.020006607,0,2.204714286,0,25737.23571,17403.1,38.43257143,38.812,38,37.75,38.062,1959.910714,40.01,0,1718976314,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,-1.5390013,26.11288033,3.275915076,0,1.135916,0.023385564,0.00238628,1,1,2,2-Jan,3.13102,2.7781,0.09762,0.0954819,0.120056,0.116957,33993.9,36612.3,34084.4,36685.9,42309.7,46439.7,53158.3,58577.6,1.9723,1.96373,0.144631,0,27.7937,999.9,71.383,26.737,25.4273,60.2219,48.1571,1,-0.0600534,0,20.1603,5.19632,12.0098,4.975,3.2939,9999,9999,999.9,9999,1.86295,1.86774,1.86752,1.86874,1.86959,1.86565,1.86667,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.35,0.385,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.4,34502.3,0.942383,2.6001,1.54785,2.29004,1.64673,2.21802,30.6956,15.6731,18,501.699,488.61,28.0422,26.6168,30.0003,26.5595,26.5087,18.7717,0,100,-999.9,379.481,25.5506,96.6399,94.9427,NA
4,1718976350,15,20240621 08:25:50,8:25:50,5,1476,ozzie,1718976342,0.000979049,0.979049358,2.621698166,413.4632308,309.4455782,30.64462187,40.94556606,0.046114889,2.912704224,0.04571309,0.028606489,321.5020922,31.47823558,31.47823558,4.635864431,61.43851087,2.592300788,4.219341829,2.043563643,-43.17607667,-258.6166089,-19.87077285,-0.161366171,-4.005307513,0.974946137,2.621698166,409.5387811,415.9107758,-1.888169697,64.72,0.979049358,25.03951012,26.18359515,2.55E-06,125.0251122,0,0,1,0,51866,1999.909231,1681.124054,0.840600177,0.160758342,6,0.5,0: Broadleaf,2,TRUE,1718976342,413.4632308,409.1405385,26.17673077,25.03740769,416.815,25.79179231,499.9943846,98.93070769,0.100023492,29.83130769,30.15636923,999.9,0,0,10011.33462,0,4.595695385,4.322800769,424.5771538,419.6473077,1.139295385,409.1405385,25.03740769,2.589681538,2.47697,21.60138462,20.87596154,1999.909231,0.979993154,0.020006746,0,2.237492308,0,25735.45385,17403.00769,38.43223077,38.812,38,37.75,38.062,1959.899231,40.01,0,1718976319,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,2.131308762,59.99202343,6.593323821,0,1.138208095,0.026286234,0.002825423,1,1,2,2-Jan,3.13133,2.77813,0.095861,0.0923763,0.120073,0.116959,34059.9,36737.7,34084.1,36685.7,42308.7,46439.2,53158.3,58577.6,1.97253,1.96323,0.145204,0,27.7866,999.9,71.383,26.737,25.4314,60.5319,47.6883,1,-0.0599085,0,20.1605,5.19692,12.0098,4.9751,3.294,9999,9999,999.9,9999,1.86296,1.86772,1.86752,1.86874,1.8696,1.86561,1.86669,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.338,0.3849,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.5,34502.3,0.905762,2.59644,1.54785,2.28882,1.64673,2.33643,30.6956,15.6818,18,501.869,488.317,28.0451,26.6191,30.0003,26.5621,26.5115,18.1535,0,100,-999.9,366.044,25.5506,96.6396,94.9424,NA
5,1718976355,20,20240621 08:25:55,8:25:55,5,1476,ozzie,1718976347,0.000982224,0.982223911,2.489191355,407.2362308,308.3023774,30.53135038,40.32882314,0.046286455,2.912750268,0.045881681,0.028712123,321.5030744,31.47652058,31.47652058,4.635412722,61.45247626,2.59276042,4.219130908,2.042652302,-43.31607446,-258.4878845,-19.86031469,-0.161199254,-9.529801402,0.977712842,2.489191355,392.0183655,402.7108848,-2.706103203,64.72,0.982223911,25.03967586,26.18739818,1.92E-06,125.0251122,0,0,1,0,51870,1999.915385,1681.129223,0.840600175,0.160758339,6,0.5,0: Broadleaf,2,TRUE,1718976347,407.2362308,396.2788462,26.18142308,25.03894615,410.58,25.79649231,500.0266923,98.9305,0.100038269,29.83043846,30.15506154,999.9,0,0,10011.61923,0,4.789088462,10.95733923,418.1848462,406.4560769,1.142465385,396.2788462,25.03894615,2.590140769,2.477115385,21.60427692,20.87692308,1999.915385,0.979993154,0.020006746,0,2.299361538,0,25739.55385,17403.06923,38.437,38.812,38,37.75,38.062,1959.905385,40.01,0,1718976324,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,7.7448172,84.81313191,8.239661134,0,1.14103,0.040229774,0.003948049,1,1,2,2-Jan,3.13112,2.7781,0.0934121,0.0893101,0.120085,0.116956,34152,36861.7,34084,36685.6,42307.5,46438.6,53157.8,58577.1,1.97255,1.96315,0.145979,0,27.7804,999.9,71.383,26.737,25.4299,60.1819,47.9688,1,-0.0595147,0,20.1604,5.19707,12.0098,4.97515,3.294,9999,9999,999.9,9999,1.86295,1.86771,1.86752,1.86874,1.86954,1.8656,1.8667,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.32,0.3849,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.6,34502.4,0.877686,2.59766,1.54785,2.29004,1.64673,2.32422,30.6956,15.6731,18,501.905,488.289,28.0481,26.6214,30.0003,26.5643,26.5137,17.4842,0,100,-999.9,345.884,25.5506,96.639,94.9418,NA
6,1718976360,25,20240621 08:26:00,8:26:00,5,1476,ozzie,1718976352,0.000987777,0.987777,2.320769482,396.8975385,304.576095,30.16234922,39.30499589,0.046576306,2.912826875,0.046166481,0.028890571,321.5084762,31.47411823,31.47411823,4.634780037,61.46740598,2.59324921,4.218901332,2.041530827,-43.56096569,-258.2660063,-19.84241685,-0.160912652,-14.21839249,0.981298177,2.320769482,375.2598275,387.7699636,-3.022791688,64.72,0.987777,25.03979261,26.19401455,4.06E-06,125.0251122,0,0,1,0,51755,1999.949231,1681.157654,0.840600165,0.160758319,6,0.5,0: Broadleaf,2,TRUE,1718976352,396.8975385,380.3031538,26.18634615,25.03964615,400.2279231,25.80140769,500.0095385,98.93059231,0.099993877,29.82949231,30.15628462,999.9,0,0,10012.04846,0,4.950760769,16.59435846,407.5703077,390.0703846,1.146698462,380.3031538,25.03964615,2.590630769,2.477186154,21.60736154,20.87738462,1999.949231,0.979993385,0.020006515,0,2.182961538,0,25742.33846,17403.36154,38.437,38.812,38,37.75,38.062,1959.939231,40.01,0,1718976329,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,12.4050057,73.04371859,7.252392724,0,1.143993,0.049486917,0.004795345,1,1,2,2-Jan,3.13121,2.77806,0.0906409,0.0860668,0.120105,0.116964,34256.3,36992.8,34083.9,36685.5,42306,46437.6,53157.6,58576.8,1.97235,1.9631,0.146478,0,27.7736,999.9,71.383,26.737,25.4288,60.4919,47.7163,1,-0.0594538,0,20.1606,5.19692,12.0098,4.97495,3.2939,9999,9999,999.9,9999,1.86295,1.86772,1.86751,1.86874,1.86957,1.86562,1.86668,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.301,0.385,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.7,34502.5,0.841064,2.59888,1.54785,2.28882,1.64673,2.34863,30.7172,15.6818,18,501.801,488.281,28.0508,26.6237,30.0003,26.5671,26.5164,16.8538,0,100,-999.9,332.456,25.5506,96.6387,94.9414,NA
7,1718976365,30,20240621 08:26:05,8:26:05,5,1476,ozzie,1718976357,0.000990473,0.99047329,2.343261411,383.4690769,291.0703725,28.82495282,37.9752771,0.046714813,2.911161388,0.046302325,0.02897571,321.5104405,31.47438466,31.47438466,4.634850202,61.47903887,2.593752612,4.218921863,2.04109759,-43.6798721,-258.1468719,-19.84464496,-0.160948387,-16.98646077,0.984827168,2.343261411,357.79384,371.5181394,-3.267149004,64.72,0.99047329,25.04243186,26.19976727,3.74E-06,125.0251122,0,0,1,0,51847,1999.961538,1681.167992,0.840600162,0.160758312,6,0.5,0: Broadleaf,2,TRUE,1718976357,383.4690769,363.5394615,26.19135385,25.04056923,386.7817692,25.80642308,500.024,98.93086923,0.100002831,29.82957692,30.16113077,999.9,0,0,10002.48846,0,4.999135385,19.92955385,393.7827692,372.8764615,1.150799231,363.5394615,25.04056923,2.591134615,2.477283846,21.61053846,20.87803077,1999.961538,0.979993385,0.020006515,0,2.128184615,0,25738.06154,17403.46923,38.437,38.812,38,37.75,38.062,1959.951538,40.01,0,1718976334,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,18.1595885,37.5327415,3.818461738,0,1.148818,0.051064962,0.004940801,1,1,2,2-Jan,3.13102,2.77776,0.087621,0.0828435,0.120124,0.116969,34369.9,37122.9,34083.8,36685.2,42304.6,46437.1,53157.4,58577,1.97228,1.96303,0.146985,0,27.7687,999.9,71.383,26.757,25.4603,59.9919,48.0729,1,-0.0591997,0,20.1605,5.19662,12.0097,4.97525,3.29393,9999,9999,999.9,9999,1.86295,1.86775,1.86752,1.86874,1.86956,1.86565,1.86673,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.28,0.3849,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.8,34502.6,0.812988,2.60132,1.54785,2.29004,1.64673,2.25586,30.7172,15.6731,18,501.772,488.253,28.0521,26.6264,30.0003,26.5694,26.5186,16.1817,0,100,-999.9,312.337,25.5506,96.6384,94.9413,NA
8,1718976370,35,20240621 08:26:10,8:26:10,5,1476,ozzie,1718976362,0.000993648,0.993647584,2.189567093,368.4076923,281.9728085,27.92393824,36.48363721,0.046868762,2.909409299,0.046453316,0.029070342,321.5233313,31.47601197,31.47601197,4.635278769,61.48712121,2.594311655,4.219276499,2.040967114,-43.81985844,-258.0175074,-19.84694787,-0.160982441,-18.26728177,0.988522525,2.189567093,340.9090291,355.0264061,-3.307149957,64.72,0.993647584,25.04440077,26.20550424,2.98E-06,125.0251122,0,0,1,0,51734,2000.042308,1681.235838,0.840600137,0.160758265,6,0.5,0: Broadleaf,2,TRUE,1718976362,368.4076923,346.9239231,26.19706923,25.04191538,371.7002308,25.81213846,499.9989231,98.93058462,0.1000219,29.83103846,30.16240769,999.9,0,0,9992.496154,0,4.937393077,21.48382308,378.3184615,355.8346923,1.155169231,346.9239231,25.04191538,2.591692308,2.47741,21.61406154,20.87886923,2000.042308,0.979994077,0.020005792,0,2.030246154,0,25727.34615,17404.16154,38.43223077,38.812,38,37.75,38.062,1960.032308,40.01,0,1718976339,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,20.40449048,19.83069351,2.123771762,0,1.152597619,0.050650909,0.005143283,1,1,2,2-Jan,3.13134,2.77788,0.0844999,0.0794849,0.12014,0.116974,34487.2,37258.7,34083.6,36685.1,42303.3,46436.2,53157.1,58576.7,1.9721,1.9631,0.147112,0,27.7651,999.9,71.383,26.737,25.4284,60.6019,47.6803,1,-0.0588288,0,20.1606,5.19677,12.0098,4.97525,3.29395,9999,9999,999.9,9999,1.86295,1.86773,1.86752,1.86874,1.86959,1.86566,1.86674,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.257,0.385,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.9,34502.7,0.775146,2.59888,1.54785,2.29004,1.64673,2.35718,30.7172,15.6818,18,501.683,488.325,28.0548,26.6287,30.0003,26.5721,26.5214,15.5487,0,100,-999.9,298.936,25.5506,96.6378,94.9409,NA
9,1718976375,40,20240621 08:26:15,8:26:15,5,1476,ozzie,1718976367,0.000996118,0.996117573,2.097092061,352.5655385,269.9767554,26.73573269,34.91447986,0.046991998,2.91032802,0.046574506,0.029146267,321.5206304,31.47706593,31.47706593,4.635556355,61.49249879,2.594866839,4.219810368,2.040689516,-43.92878498,-257.9191664,-19.83343916,-0.160760134,-19.02797123,0.991353295,2.097092061,323.5859064,338.1725091,-3.377040173,64.72,0.996117573,25.0472401,26.21124667,3.62E-06,125.0251122,0,0,1,0,52088,2000.025385,1681.221623,0.840600142,0.160758275,6,0.5,0: Broadleaf,2,TRUE,1718976367,352.5655385,330.1507692,26.2029,25.04441538,355.8365385,25.81796154,499.9860769,98.92980769,0.099950046,29.83323846,30.16398462,999.9,0,0,9997.828462,0,4.821760769,22.41479231,362.0523077,338.6316154,1.158486923,330.1507692,25.04441538,2.592247692,2.477638462,21.61757692,20.88036154,2000.025385,0.979993846,0.020006046,0,2.088692308,0,25710.86923,17404.01538,38.42269231,38.812,38,37.75,38.062,1960.015385,40.01,0,1718976344,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,21.916225,10.29103308,1.061537366,0,1.1568025,0.042287368,0.004125257,1,1,2,2-Jan,3.13115,2.77831,0.0812615,0.0761528,0.120161,0.11698,34609.2,37393.3,34083.7,36684.8,42302.1,46435.2,53157.4,58576.3,1.9724,1.96288,0.147387,0,27.7625,999.9,71.359,26.757,25.451,60.0719,48.0729,1,-0.123709,0.0697168,20.1604,5.19662,12.0098,4.9751,3.29393,9999,9999,999.9,9999,1.86296,1.86773,1.86752,1.86874,1.86961,1.86567,1.86671,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.234,0.385,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34502.9,34502.8,0.74707,2.60376,1.54785,2.29004,1.64673,2.26929,30.7172,15.6731,18,501.899,488.202,28.0577,26.6309,30.0002,26.5744,26.5236,14.8652,0,100,-999.9,278.803,25.5506,96.6381,94.9402,NA
10,1718976380,45,20240621 08:26:20,8:26:20,5,1476,ozzie,1718976372,0.001000768,1.000767854,2.043022094,336.347,256.4388961,25.39498081,33.30822951,0.047207804,2.911254535,0.04678662,0.029279166,321.5221036,31.48006909,31.48006909,4.636347396,61.48967645,2.595449176,4.220951103,2.040898219,-44.13386238,-257.7349543,-19.81371973,-0.160432788,-19.3187721,0.994842194,2.043022094,306.7956597,321.3702606,-3.36167671,64.72,1.000767854,25.04812294,26.21754727,3.67E-06,125.0251122,0,0,1,0,51695,2000.034615,1681.229377,0.84060014,0.160758269,6,0.5,0: Broadleaf,2,TRUE,1718976372,336.347,313.5655385,26.20888462,25.04633846,339.5956154,25.82394615,499.9896923,98.92936923,0.099994831,29.83793846,30.16626923,999.9,0,0,10003.17308,0,4.711008462,22.78150769,345.3993846,321.6208462,1.162543846,313.5655385,25.04633846,2.592828462,2.477818462,21.62123846,20.88154615,2000.034615,0.979993846,0.020006046,0,2.073423077,0,25693.24615,17404.10769,38.41315385,38.812,38,37.75,38.062,1960.024615,40.01,0,1718976349,0,0,--:--:--,1716906199,1716906210,0,-0.068,0.035,-3.593,0.215,377,19,0.01,0.02,22.52142381,5.001709091,0.548305061,0,1.160287619,0.046535844,0.004779201,1,1,2,2-Jan,3.13138,2.77802,0.0779632,0.0726278,0.120183,0.116978,34733.2,37535.5,34083.5,36684.4,42300.8,46434.6,53157.6,58576,1.97248,1.96242,0.147715,0,27.7601,999.9,71.359,26.757,25.4516,60.2619,47.7003,1,-0.123557,0.0697168,20.1605,5.19677,12.0098,4.97515,3.29393,9999,9999,999.9,9999,1.86297,1.86776,1.86752,1.86874,1.8696,1.86562,1.86672,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.211,0.385,-2.693314569,-0.001891345,7.78E-07,-7.51E-11,0.38493637,0,0,0,5,2309,1,24,34503,34502.8,0.709229,2.6001,1.54785,2.28882,1.64673,2.36572,30.7172,15.6818,18,501.968,487.936,28.0608,26.6331,30.0003,26.5766,26.5258,14.223,0,100,-999.9,265.332,25.5506,96.6382,94.9395,NA
